URL, First Contentful Paint, First Interactive
http://marketingstudylab.libsyn.com/episode-26-copywriting-dont-make-super-simple-tasks-difficult-gill-andrews-freelance-copywriter-web-consultant-part-1-of-2,2.0 s,10.2 s
https://www.awai.com/2018/08/why-direct-response-copywriting-is-here-to-stay/,7.1 s,9.4 s
http://contractorsprofitandgrowthshow.com/0286-six-steps-to-effective-copywriting-in-the-construction-industry,2.3 s,13.5 s
http://contractorsprofitandgrowthshow.com/0286-six-steps-to-effective-copywriting-in-the-construction-industry,2.3 s,13.5 s
https://www.slideshare.net/mobile/istudyuk/certified-copywriting-skills-training-istudy-113189351,2.2 s,5.3 s
https://marketing.intently.co/,3.2 s,16.8 s
https://marketing.intently.co/,3.2 s,16.8 s
https://www.grnewsletters.com/archive/videodynamobonus/Easy-copywriting-tips-and-another-HumbleBundle-special-deal-534492101.html,3.3 s,10.7 s
http://businessofbecomming.libsyn.com/ep51-the-dos-donts-of-copywriting-with-jennifer-hudye,2.2 s,10.4 s
https://www.awai.com/2018/09/how-copywriting-royalties-work/,7.1 s,9.4 s
https://www.streetdirectory.com/travel_guide/editorials/other/copywriting%20career/,1.4 s,6.3 s
https://www.awai.com/2018/08/the-7-most-asked-questions-about-b2b-copywriting/,6.9 s,9.1 s
https://www.awai.com/2018/08/awai-member-has-several-writing-jobs-in-the-works/,6.9 s,9.2 s
https://www.awai.com/2018/10/7-reasons-not-to-discount-your-copywriting-fees/,6.9 s,9.2 s
https://www.streetdirectory.com/travel_guide/editorials/other/awai%20copywriting/,1.4 s,6.4 s
https://www.awai.com/2018/09/your-ideal-b2b-mentor-is-waiting/,6.7 s,8.9 s
https://www.awai.com/2018/09/9-copywriting-tips-can-help-you-make-more-money/,7.0 s,9.3 s
https://m.barnesandnoble.com/s/%22Creative%20Concepts,4.9 s,36.8 s
https://www.awai.com/2018/09/copywriting-youve-trained-for-without-knowing-it/,7.0 s,9.3 s
https://www.streetdirectory.com/travel_guide/editorials/other/job%20copywriting/,1.4 s,6.5 s
https://www.awai.com/2018/09/these-potato-chips-launched-my-copywriting-career/,7.0 s,9.3 s
https://www.awai.com/2018/08/build-a-clientless-copy-business-with-youtube/,7.0 s,9.3 s
https://www.awai.com/2018/09/why-short-form-copywriting-is-your-next-superpower/,7.0 s,9.3 s
https://www.awai.com/2018/09/how-im-helping-my-second-generation-copywriter/,7.0 s,9.3 s
https://www.awai.com/2018/09/how-im-helping-my-second-generation-copywriter/,7.0 s,9.3 s
https://www.awai.com/2018/10/key-message-copy-platforms-a-vital-copy-service/,7.0 s,9.4 s
https://www.awai.com/2018/09/to-impress-copy-clients-ask-these-5-questions/,7.0 s,9.3 s
https://www.awai.com/2018/10/how-to-fish-for-more-email-copywriting-clients/,7.0 s,9.4 s
https://www.awai.com/2018/09/7-client-getting-tips-to-build-your-copy-business/,6.9 s,9.1 s
https://www.awai.com/2018/09/online-trend-can-catapult-your-copywriting-income/,6.9 s,9.1 s
